2022-11-13 12:02:23,660,660 root DEBUG Compass Degrees: 157
2022-11-13 12:02:23,660,660 root DEBUG Value sent to servo: -0.26
2022-11-13 12:02:23,864,864 root DEBUG Compass Degrees: 157
2022-11-13 12:02:23,865,865 root DEBUG Value sent to servo: -0.26
2022-11-13 12:02:24,068,68 root DEBUG Compass Degrees: 161
2022-11-13 12:02:24,069,69 root DEBUG Value sent to servo: -0.21
2022-11-13 12:02:24,273,273 root DEBUG Compass Degrees: 159
2022-11-13 12:02:24,274,274 root DEBUG Value sent to servo: -0.23
2022-11-13 12:02:24,477,477 root DEBUG Compass Degrees: 161
2022-11-13 12:02:24,478,478 root DEBUG Value sent to servo: -0.21
2022-11-13 12:02:24,682,682 root DEBUG Compass Degrees: 160
2022-11-13 12:02:24,682,682 root DEBUG Value sent to servo: -0.22
2022-11-13 12:02:24,886,886 root DEBUG Compass Degrees: 159
2022-11-13 12:02:24,886,886 root DEBUG Value sent to servo: -0.23
2022-11-13 12:02:25,090,90 root DEBUG Compass Degrees: 158
2022-11-13 12:02:25,090,90 root DEBUG Value sent to servo: -0.24
2022-11-13 12:02:25,294,294 root DEBUG Compass Degrees: 161
2022-11-13 12:02:25,294,294 root DEBUG Value sent to servo: -0.21
2022-11-13 12:02:25,498,498 root DEBUG Compass Degrees: 156
2022-11-13 12:02:25,499,499 root DEBUG Value sent to servo: -0.27
2022-11-13 12:02:25,702,702 root DEBUG Compass Degrees: 159
2022-11-13 12:02:25,702,702 root DEBUG Value sent to servo: -0.23
2022-11-13 12:02:25,906,906 root DEBUG Compass Degrees: 160
2022-11-13 12:02:25,907,907 root DEBUG Value sent to servo: -0.22
2022-11-13 12:02:26,110,110 root DEBUG Compass Degrees: 157
2022-11-13 12:02:26,111,111 root DEBUG Value sent to servo: -0.26
2022-11-13 12:02:26,314,314 root DEBUG Compass Degrees: 157
2022-11-13 12:02:26,315,315 root DEBUG Value sent to servo: -0.26
2022-11-13 12:02:26,518,518 root DEBUG Compass Degrees: 172
2022-11-13 12:02:26,519,519 root DEBUG Value sent to servo: -0.09
2022-11-13 12:02:26,722,722 root DEBUG Compass Degrees: 186
2022-11-13 12:02:26,723,723 root DEBUG Value sent to servo: 0.07
2022-11-13 12:02:26,926,926 root DEBUG Compass Degrees: 192
2022-11-13 12:02:26,927,927 root DEBUG Value sent to servo: 0.13
2022-11-13 12:02:27,130,130 root DEBUG Compass Degrees: 195
2022-11-13 12:02:27,131,131 root DEBUG Value sent to servo: 0.17
2022-11-13 12:02:27,334,334 root DEBUG Compass Degrees: 197
2022-11-13 12:02:27,335,335 root DEBUG Value sent to servo: 0.19
2022-11-13 12:02:27,538,538 root DEBUG Compass Degrees: 187
2022-11-13 12:02:27,538,538 root DEBUG Value sent to servo: 0.08
2022-11-13 12:02:27,742,742 root DEBUG Compass Degrees: 175
2022-11-13 12:02:27,742,742 root DEBUG Value sent to servo: -0.06
2022-11-13 12:02:27,946,946 root DEBUG Compass Degrees: 160
2022-11-13 12:02:27,946,946 root DEBUG Value sent to servo: -0.22
2022-11-13 12:02:28,149,149 root DEBUG Compass Degrees: 147
2022-11-13 12:02:28,149,149 root DEBUG Value sent to servo: -0.37
2022-11-13 12:02:28,351,351 root DEBUG Compass Degrees: 138
2022-11-13 12:02:28,351,351 root DEBUG Value sent to servo: -0.47
2022-11-13 12:02:28,553,553 root DEBUG Compass Degrees: 144
2022-11-13 12:02:28,554,554 root DEBUG Value sent to servo: -0.4
2022-11-13 12:02:28,756,756 root DEBUG Compass Degrees: 163
